% Title: AA-F12-Price Trend 
% Source: 'Julian Tritscher et al., Open ERP System Data For Occupational Fraud Detection, 2022' 
@RELATION AA-F12-Time-Price-Amount 
@ATTRIBUTE time NUMERIC
@ATTRIBUTE price NUMERIC
@ATTRIBUTE amount NUMERIC
@DATA
0,4.8,415
1,4.8,415
2,4.8,415
3,4.8,415
4,4.8,415
5,4.8,415
6,4.8,415
7,4.8,415
8,4.8,415
9,4.8,415
10,4.8,415
11,4.8,415
12,4.8,415
13,4.8,415
14,4.8,415
15,4.8,415
16,4.8,415
17,4.8,415
18,4.8,415
19,4.8,415
20,4.8,415
21,4.8,415
22,4.8,415
23,4.8,415
24,4.8,415
25,4.8,415
26,4.8,415
27,4.8,415
28,4.8,415
29,4.8,415
30,4.8,415
31,4.8,415
32,4.8,415
33,4.8,415
34,4.8,415
35,4.8,415
36,4.8,415
37,4.8,415
38,4.8,415
39,4.8,415
40,4.8,415
41,4.8,415
42,4.8,415
43,4.8,415
44,4.8,415
45,4.8,415
46,4.8,415
47,4.8,415
48,4.8,415
49,4.8,415
50,4.8,444
51,4.8,415
52,4.8,437
53,4.8,413
54,4.8,444
55,4.8,398
56,4.8,430
57,4.8,443
58,4.8,429
59,4.8,422
60,4.8,441
61,4.8,438
62,4.8,435
63,4.8,437
64,4.8,440
65,4.8,423
66,4.8,423
67,4.8,432
68,4.8,454
69,4.8,442
70,4.8,441
71,4.8,445
72,4.8,442
73,4.8,440
74,4.8,438
75,4.8,436
76,4.8,434
77,4.8,439
78,4.8,440
79,4.8,440
80,4.8,440
81,4.8,431
82,4.8,458
83,4.8,443
84,4.8,449
85,4.8,434
86,4.8,437
87,4.8,436
88,4.8,430
89,4.8,443
90,4.8,433
91,4.8,445
92,4.8,434
93,4.8,434
94,4.8,449
95,4.8,429
96,4.8,436
97,3.97,798
98,3.14,1160
99,4.9,425
100,4.9,445
101,4.9,442
102,4.9,421
103,4.9,427
104,4.9,432
105,4.9,430
106,4.9,427
107,4.9,425
108,4.9,438
109,4.9,423
110,4.9,404
111,4.9,430
112,4.9,428
113,4.9,427
114,4.9,427
115,4.9,427
116,4.9,426
117,4.9,428
118,4.9,423
119,4.9,407
120,4.9,428
121,4.9,426
122,4.9,431
123,4.9,430
124,4.9,443
125,4.9,421
126,4.9,438
127,4.9,435
128,4.9,432
129,4.9,429
130,4.9,429
131,4.9,428
132,4.9,428
133,4.9,427
134,4.9,427
135,4.9,426
136,4.9,426
137,4.9,425
138,4.9,427
139,4.9,423
140,4.9,429
141,4.9,435
142,4.9,456
143,4.9,369
144,4.9,434
145,4.9,412
146,4.9,423
147,4.9,432
148,4.9,445
149,4.9,458
150,4.9,421
151,4.9,425
152,4.9,430
153,4.9,421
154,4.9,428
155,4.9,435
156,4.9,436
157,4.9,438
158,4.9,439
159,4.9,441
160,4.9,430
161,4.9,419
162,4.9,433
163,4.97,424
164,5.03,415
165,5.1,406
166,5.1,402
167,5.1,398
168,5.1,408
169,5.1,411
170,5.1,403
171,5.1,395
172,5.1,404
173,5.1,413
174,5.1,407
175,5.1,402
176,5.1,412
177,5.1,422
178,5.1,405
179,5.1,408
180,5.1,410
181,5.1,422
182,5.1,391
183,5.1,415
184,5.1,425
185,5.1,436
186,5.1,408
187,5.1,409
188,5.1,410
189,5.1,423
190,5.1,418
191,5.1,413
192,5.1,408
193,5.1,402
194,5.1,397
195,5.1,392
196,5.1,387
197,5.1,382
198,5.1,415
199,5.1,422
200,5.1,403
201,5.1,413
202,5.1,392
203,5.1,414
204,5.1,418
205,5.1,403
206,5.1,414
207,5.1,412
208,5.1,397
209,5.1,412
210,5.1,419
211,5.1,390
212,5.1,412
213,5.1,399
214,5.1,381
215,5.1,366
216,5.1,394
217,5.1,444
218,5.1,412
219,5.1,414
220,5.1,415
221,5.1,400
222,5.1,395
223,5.1,389
224,5.1,384
225,5.1,378
226,5.1,429
227,5.1,424
228,5.1,419
229,5.1,413
230,5.1,408
231,5.1,403
232,5.1,429
233,5.1,407
234,5.1,428
235,5.1,401
236,5.1,378
237,5.1,400
238,5.1,412
239,5.1,412
240,5.1,393
241,5.1,416
242,5.1,405
243,5.1,423
244,5.1,403
245,5.1,294
246,5.1,418
247,5.1,418
248,5.1,418
249,5.1,418
250,5.1,418
251,5.1,418
252,5.1,418
253,5.1,418
254,5.1,418
255,5.1,418
