% Title: AA-R02-Price Trend 
% Source: 'Julian Tritscher et al., Open ERP System Data For Occupational Fraud Detection, 2022' 
@RELATION AA-R02-Time-Price 
@ATTRIBUTE time NUMERIC
@ATTRIBUTE price NUMERIC
@DATA
0,4.0
1,4.0
2,4.0
3,4.0
4,4.0
5,4.0
6,4.0
7,4.0
8,4.0
9,4.0
10,4.0
11,4.0
12,4.0
13,4.0
14,4.0
15,4.0
16,4.0
17,4.0
18,4.0
19,4.0
20,4.0
21,4.0
22,4.0
23,4.0
24,4.0
25,4.0
26,4.0
27,4.0
28,4.0
29,4.0
30,4.0
31,4.0
32,4.0
33,4.0
34,4.0
35,4.0
36,4.0
37,4.0
38,4.0
39,4.0
40,4.0
41,4.0
42,4.0
43,4.0
44,4.0
45,4.0
46,4.0
47,4.0
48,4.0
49,4.0
50,3.93
51,3.93
52,3.93
53,3.94
54,3.94
55,3.94
56,3.95
57,3.95
58,3.96
59,3.96
60,3.98
61,3.99
62,4.01
63,4.1
64,4.19
65,4.2
66,4.2
67,4.21
68,4.22
69,4.24
70,4.27
71,4.29
72,4.27
73,4.26
74,4.24
75,4.23
76,4.21
77,4.22
78,4.23
79,4.24
80,4.25
81,4.28
82,4.31
83,4.33
84,4.36
85,4.39
86,4.42
87,4.44
88,4.47
89,4.49
90,4.52
91,4.54
92,4.57
93,4.57
94,4.57
95,4.59
96,4.61
97,4.63
98,4.65
99,4.66
100,4.68
101,4.7
102,4.72
103,4.74
104,4.76
105,4.76
106,4.76
107,4.76
108,4.84
109,4.92
110,4.93
111,4.94
112,4.95
113,4.95
114,4.96
115,4.97
116,4.98
117,5.22
118,5.45
119,5.68
120,5.92
121,5.86
122,5.8
123,5.75
124,5.69
125,5.63
126,5.57
127,5.51
128,5.45
129,5.4
130,5.42
131,5.44
132,5.46
133,5.48
134,5.5
135,5.52
136,5.54
137,5.57
138,5.59
139,5.61
140,5.63
141,5.65
142,6.65
143,6.6
144,6.56
145,6.52
146,6.47
147,6.43
148,6.38
149,6.34
150,6.29
151,6.24
152,6.2
153,6.16
154,6.11
155,6.06
156,6.02
157,5.98
158,5.93
159,5.88
160,5.84
161,5.8
162,5.75
163,5.73
164,5.71
165,5.7
166,5.68
167,5.66
168,5.66
169,5.66
170,5.65
171,5.65
172,5.65
173,5.64
174,5.64
175,5.64
176,5.64
177,5.64
178,5.63
179,5.63
180,5.63
181,5.62
182,5.62
183,5.62
184,5.61
185,5.6
186,5.59
187,5.58
188,5.57
189,5.56
190,5.55
191,5.54
192,5.53
193,5.52
194,5.51
195,5.5
196,5.49
197,5.48
198,5.47
199,5.46
200,5.45
201,5.4
202,5.35
203,5.31
204,5.26
205,5.21
206,5.16
207,5.1
208,5.05
209,4.99
210,4.94
211,4.89
212,4.83
213,4.78
214,4.72
215,4.67
216,4.66
217,4.65
218,4.64
219,4.63
220,4.61
221,4.6
222,4.59
223,4.58
224,4.57
225,4.56
226,4.55
227,4.54
228,4.52
229,4.51
230,4.5
231,4.49
232,4.48
233,4.45
234,4.42
235,4.39
236,4.36
237,4.33
238,4.3
239,4.27
240,4.27
241,4.27
242,4.27
243,4.27
244,4.27
245,4.27
246,4.27
247,4.27
248,4.27
249,4.27
250,4.27
251,4.27
252,4.27
253,4.27
254,4.27
255,4.27
